date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-15,3716,中化控股,34.55,34.7,33.7,33.7,315,40,-28,0,0,8.29,91.7,100.0
2026-05-15,3717,聯嘉投控,22.2,22.7,21.85,22.15,1121,281,150,0,27,3.85,96.14,100.0
2026-05-15,4102,永日,17.2,17.2,16.9,17.0,73,2,-14,0,0,1.06,98.93,100.0
2026-05-15,4104,佳醫,68.5,68.8,68.0,68.1,611,58,-61,0,1,2.68,97.31,100.0
2026-05-15,4105,東洋,76.2,76.4,74.5,75.1,697,193,-149,0,2,19.66,80.33,100.0
2026-05-15,4106,雃博,22.85,22.9,22.7,22.9,132,4,-19,0,0,1.82,98.17,100.0
2026-05-15,4107,邦特,119.0,119.5,118.5,118.5,59,4,8,0,-2,7.64,92.35,100.0
2026-05-15,4108,懷特,11.8,11.8,11.7,11.7,183,0,-47,0,0,1.1,98.89,100.0
2026-05-15,4109,加捷生醫,11.2,11.3,11.0,11.05,331,40,-30,0,0,0.72,99.27,100.0
2026-05-15,4111,濟生,30.2,30.6,30.0,30.15,124,10,5,0,0,3.34,96.65,100.0
2026-05-15,4113,聯上,14.4,14.6,14.35,14.6,241,33,-27,0,0,2.15,97.84,100.0
2026-05-15,4114,健喬,30.75,31.25,30.65,30.65,1423,195,127,0,0,5.69,94.3,100.0
2026-05-15,4115,善德生技,8.94,9.23,8.77,9.14,48,0,0,0,0,0.0,0.0,0.0
2026-05-15,4116,明基醫,38.3,38.3,38.25,38.25,25,0,-5,0,0,0.41,99.58,100.0
2026-05-15,4119,旭富,40.7,41.4,40.3,40.4,282,47,42,0,-3,5.85,94.14,100.0
2026-05-15,4120,友華,46.25,46.75,46.2,46.2,126,4,1,0,0,6.24,93.75,100.0
2026-05-15,4121,優盛,13.95,13.95,13.7,13.7,97,12,-31,0,0,2.21,97.78,100.0
2026-05-15,4123,晟德,39.75,39.75,38.3,38.3,4069,622,-1535,0,-32,9.05,90.94,100.0
2026-05-15,4126,太醫,80.0,80.5,79.9,80.0,26,1,2,0,0,9.1,90.89,100.0
2026-05-15,4127,天良,41.25,41.25,39.05,39.1,2597,521,31,0,0,0.64,99.35,100.0
2026-05-15,4128,中天,15.4,15.4,14.55,14.6,2041,265,-923,0,-10,6.91,93.08,100.0
2026-05-15,4129,聯合,91.9,93.6,91.9,93.2,238,33,-36,0,0,12.33,87.66,100.0
2026-05-15,4130,健亞,28.2,28.2,27.5,27.6,124,21,-1,0,-2,1.93,98.06,100.0
2026-05-15,4131,浩泰,35.35,35.35,34.85,35.3,51,0,-2,0,0,1.3,98.69,100.0
2026-05-15,4133,亞諾法,21.35,21.35,20.7,20.8,372,32,-20,0,0,12.41,87.58,100.0
2026-05-15,4137,麗豐-KY,106.5,106.5,104.0,104.0,289,23,-182,0,0,56.24,43.75,100.0
2026-05-15,4138,曜亞,51.3,51.5,51.2,51.2,54,6,-1,0,0,1.12,98.87,100.0
2026-05-15,4139,馬光-KY,23.9,24.4,23.5,24.4,8,0,2,0,0,19.96,80.03,100.0
2026-05-15,4142,國光生,17.7,17.7,17.2,17.2,2093,220,-1333,0,0,4.54,95.45,100.0
2026-05-15,4147,中裕,52.8,54.0,50.5,51.1,1540,402,-562,0,50,8.97,91.02,100.0
2026-05-15,4148,全宇生技-KY,36.0,36.0,34.75,35.0,57,15,-11,0,-1,71.08,28.91,100.0
2026-05-15,4150,優你康,6.09,6.07,5.79,5.95,475,0,-32,0,0,0.0,0.0,0.0
2026-05-15,4153,鈺緯,30.7,31.4,30.25,30.5,37,2,4,0,0,0.37,99.62,100.0
2026-05-15,4154,樂威科-KY,14.45,14.45,13.3,13.3,67,0,0,0,1,29.97,70.02,100.0
2026-05-15,4155,訊映,14.2,14.45,14.1,14.3,755,108,52,0,0,1.21,98.78,100.0
2026-05-15,4157,太景*-KY,9.24,9.39,9.13,9.17,880,241,-117,0,0,1.72,98.27,100.0
2026-05-15,4160,訊聯基因,43.1,43.5,41.5,41.85,117,19,6,0,0,0.8,99.19,100.0
2026-05-15,4161,聿新科,23.1,23.5,22.6,23.4,149,33,-8,0,0,0.34,99.65,100.0
2026-05-15,4162,智擎,56.2,56.3,55.0,55.0,414,77,-41,0,0,11.8,88.19,100.0
2026-05-15,4163,鐿鈦,114.0,118.0,113.5,118.0,390,41,-37,0,0,2.71,97.28,100.0
2026-05-15,4164,承業醫,28.05,28.7,28.05,28.05,572,154,-13,0,-23,19.4,80.59,100.0
2026-05-15,4166,友霖,26.2,26.4,25.65,25.7,230,42,-34,0,0,10.79,89.2,100.0
2026-05-15,4167,松瑞藥,19.3,19.3,18.85,18.9,909,164,-43,0,-33,10.35,89.64,100.0
2026-05-15,4168,醣聯,22.65,24.9,22.65,24.5,1079,0,-46,0,125,4.82,95.17,100.0
2026-05-15,4169,泰宗,155.0,155.0,148.0,148.5,139,0,-1,0,0,6.35,93.64,100.0
2026-05-15,4170,鑫品生醫,13.35,13.45,13.0,13.15,21,0,0,0,0,0.0,0.0,0.0
2026-05-15,4171,瑞基,18.05,18.2,17.75,17.75,122,7,-37,0,0,13.55,86.44,100.0
2026-05-15,4172,因華,13.74,14.1,13.35,13.35,330,0,10,0,0,0.0,0.0,0.0
2026-05-15,4173,久裕,18.8,18.8,18.3,18.4,126,17,-28,0,0,0.67,99.32,100.0
2026-05-15,4174,浩鼎,33.5,33.6,32.5,32.5,441,127,-23,0,0,6.46,93.53,100.0
2026-05-15,4175,杏一,53.4,53.9,53.0,53.0,35,2,-8,0,0,0.2,99.79,100.0
2026-05-15,4178,永笙-KY,19.0,19.0,18.8,19.0,429,0,-88,0,0,5.55,94.44,100.0
2026-05-15,4183,福永生技,13.25,13.25,13.25,13.25,10,0,0,0,0,0.0,99.99,100.0
2026-05-15,4186,尖端醫,10.49,10.55,9.7,10.45,511,0,-1,0,0,0.0,0.0,0.0
2026-05-15,4188,安克,11.5,11.55,11.45,11.55,14,0,0,0,0,0.08,99.91,100.0
2026-05-15,4190,佐登-KY,24.55,24.6,24.15,24.55,47,5,-14,0,0,61.51,38.48,100.0
