date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-06-18,7833,綠岩能源,24.86,24.95,23.75,24.35,43,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7834,來毅數位,17.6,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7836,智生活,50.92,51.1,51.1,51.1,3,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7837,啟新生,92.95,94.0,92.0,92.0,2,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7839,達人網,47.3,48.3,47.1,47.2,58,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7840,祥圃,36.5,36.5,36.5,36.5,3,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7841,經貿聯網,27.76,28.15,27.7,28.15,8,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7842,天能綠電,100.5,101.5,100.5,101.0,16,0,6,0,0,0.0,0.0,0.0,多
2026-06-18,7843,英柏得,134.13,135.5,131.5,135.5,74,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7846,德揚,65.89,67.9,65.4,67.5,17,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7847,豊漁,20.06,20.15,19.9,20.0,43,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7848,騏億鑫,430.3,435.5,401.0,411.5,118,0,-40,0,0,0.0,0.0,0.0,空
2026-06-18,7849,旭誼,164.46,171.0,164.0,169.0,1,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7850,寶泰生醫,16.46,16.7,15.7,16.1,238,0,50,0,0,0.0,0.0,0.0,空
2026-06-18,7851,慧康生技*-KY,34.55,34.55,33.1,34.2,21,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7853,政美應用,320.77,336.5,321.0,328.0,349,0,2,0,0,0.0,0.0,0.0,空
2026-06-18,7854,佐茂,86.71,89.0,83.6,88.4,40,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7855,和運租車,100.75,101.5,101.5,101.5,0,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7856,漢測,3542.65,4160.0,3640.0,4135.0,697,0,94,0,0,0.0,0.0,0.0,多
2026-06-18,7857,合水先進,49.4,49.4,47.05,49.4,11,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7858,芝普,169.72,172.5,167.0,170.0,43,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7860,得生製藥,63.0,63.0,63.0,63.0,0,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7861,貝爾威勒,1195.66,1250.0,1185.0,1245.0,64,0,-4,0,0,0.0,0.0,0.0,空
2026-06-18,7862,聚泰,29.82,30.4,29.7,30.25,21,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7863,中科物流,45.03,46.6,44.35,46.6,1,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7865,金聯成,58.79,60.0,55.1,56.5,105,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7866,丹立,202.21,217.5,203.0,217.5,381,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7867,特力屋,54.86,55.2,54.2,55.0,20,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7868,聖育,69.03,72.3,69.8,70.7,47,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7869,宏于電機,391.4,402.0,402.0,402.0,0,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7870,聯剛科技,152.79,160.5,153.5,160.5,8,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7871,安立璽榮-KY,70.66,73.5,70.1,71.0,448,0,1,0,0,0.0,0.0,0.0,空
2026-06-18,7872,登豐,50.25,62.9,49.8,62.9,366,0,12,0,0,0.0,0.0,0.0,多
2026-06-18,7873,瑞峰,207.71,224.5,207.5,214.5,473,0,0,0,0,0.0,0.0,0.0,-
2026-06-18,7875,安圖斯,143.36,145.0,130.5,132.0,10,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7876,鼎晉生技,35.91,36.35,35.5,36.35,67,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7877,海利普,40.85,42.5,40.25,42.0,153,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7878,藥祇,244.83,250.0,238.5,250.0,207,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7879,益材科技,99.79,102.5,100.0,102.5,198,0,1,0,0,0.0,0.0,0.0,空
2026-06-18,7880,聖凰,168.59,169.0,165.0,166.5,81,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7881,科明,99.03,99.8,95.2,96.6,26,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7882,倍利創投,20.0,20.2,19.85,20.1,217,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7883,饗賓,250.79,257.0,247.0,248.0,33,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7885,宏羚,27.18,27.05,26.55,27.05,21,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7886,科建,156.49,158.5,145.5,151.5,148,0,1,0,0,0.0,0.0,0.0,空
2026-06-18,7887,宇川精材,174.3,184.0,176.0,180.0,662,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7888,麗寶新藥,35.87,35.25,33.7,34.65,58,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7889,騰勢,79.93,79.9,79.0,79.0,4,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7890,明曜科技,112.01,114.0,112.0,114.0,5,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7891,博研醫藥,24.22,25.0,24.3,24.5,24,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7892,元鈦科,805.54,837.0,802.0,830.0,103,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7893,睿信,197.47,200.0,195.5,200.0,10,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7895,元進莊,68.88,70.0,67.5,68.0,70,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7896,喬越,211.51,217.5,210.0,211.0,5,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7897,禾迅綠電,42.4,42.4,39.5,40.9,21,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7898,乾瞻,546.47,570.0,548.0,552.0,74,0,0,0,0,0.0,0.0,0.0,-
2026-06-18,7899,景美,488.49,540.0,484.5,533.0,484,0,9,0,0,0.0,0.0,0.0,多
2026-06-18,7901,大大寬頻,73.2,74.0,71.6,74.0,14,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7902,宇越生醫*,31.63,33.0,31.35,32.85,177,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7904,任開數位,17.55,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7907,錸恩帕斯,235.4,245.5,230.0,241.0,52,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7909,鈺祥,636.22,669.0,635.0,668.0,79,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7911,阿波羅電力,167.41,174.0,165.0,174.0,226,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7912,新聿科,452.04,488.5,454.0,479.5,53,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7913,通寶半導體,331.87,340.0,328.0,333.5,53,0,0,0,0,0.0,0.0,0.0,-
2026-06-18,7915,廌家,479.3,494.0,450.0,477.5,66,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7918,創鉅材料,1489.8,1500.0,1345.0,1395.0,231,0,-27,0,0,0.0,0.0,0.0,多
2026-06-18,7919,禾蒼,58.53,58.3,53.1,56.3,172,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7920,瀚陽*,12.29,13.75,12.1,13.65,1856,0,-55,0,0,0.0,0.0,0.0,-
2026-06-18,7921,台普威,105.71,110.0,105.5,108.0,61,0,2,0,0,0.0,0.0,0.0,-
2026-06-18,7922,源點*,106.69,108.0,105.0,108.0,7,0,0,0,0,0.0,0.0,0.0,-
